,Client,AD/GP/Others,RO Date,DoP,Bill No.,Bill Date,Amount(Rs.),GST(%),GST(Rs.),Total(Including GST),Total Paid,Total Payable,Status,Amount Received Date
0,test ing,content here,2023-04-22,2023-04-22,49,2023-04-22,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
1,test ing,content here,2025-11-15,2025-11-15,987,2025-11-15,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
2,test ing,content here,2025-11-17,2025-11-17,989,2025-11-17,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
3,test ing,content here,2025-11-19,2025-11-19,991,2025-11-19,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
4,test ing,content here,2025-11-21,2025-11-21,993,2025-11-21,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
5,test ing,content here,2025-11-23,2025-11-23,995,2025-11-23,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
6,test ing,content here,2025-11-25,2025-11-25,997,2025-11-25,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
7,test ing,content here,2025-11-26,2025-11-26,998,2025-11-26,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
8,test ing,content here,2025-11-27,2025-11-27,999,2025-11-27,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
9,test ing,content here,2025-11-24,2025-11-24,996,2025-11-24,3232.0,5,161.0,3393.0,3393.0,0.0,Received,2023-03-10
10,test ing,content here,2023-10-04,2023-10-04,214,2023-10-04,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
11,test ing,content here,2023-04-23,2023-04-23,50,2023-04-23,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
12,test ing,content here,2023-04-25,2023-04-25,52,2023-04-25,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
13,test ing,content here,2023-04-27,2023-04-27,54,2023-04-27,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
14,test ing,content here,2023-04-29,2023-04-29,56,2023-04-29,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
15,test ing,content here,2023-05-01,2023-05-01,58,2023-05-01,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
16,test ing,content here,2023-05-03,2023-05-03,60,2023-05-03,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
17,test ing,content here,2023-05-05,2023-05-05,62,2023-05-05,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
18,test ing,content here,2023-05-07,2023-05-07,64,2023-05-07,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
19,test ing,content here,2023-05-09,2023-05-09,66,2023-05-09,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
20,test ing,content here,2023-05-11,2023-05-11,68,2023-05-11,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
21,test ing,content here,2023-05-13,2023-05-13,70,2023-05-13,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
22,test ing,content here,2023-05-15,2023-05-15,72,2023-05-15,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
23,test ing,content here,2023-05-17,2023-05-17,74,2023-05-17,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
24,test ing,content here,2023-05-19,2023-05-19,76,2023-05-19,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
25,test ing,content here,2023-05-21,2023-05-21,78,2023-05-21,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
26,test ing,content here,2023-05-23,2023-05-23,80,2023-05-23,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
27,test ing,content here,2023-05-25,2023-05-25,82,2023-05-25,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
28,test ing,content here,2023-05-27,2023-05-27,84,2023-05-27,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
29,test ing,content here,2023-05-29,2023-05-29,86,2023-05-29,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
30,test ing,content here,2023-05-31,2023-05-31,88,2023-05-31,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
31,test ing,content here,2023-06-02,2023-06-02,90,2023-06-02,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
32,test ing,content here,2023-06-04,2023-06-04,92,2023-06-04,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
33,test ing,content here,2023-06-06,2023-06-06,94,2023-06-06,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
34,test ing,content here,2023-06-08,2023-06-08,96,2023-06-08,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
35,test ing,content here,2023-06-10,2023-06-10,98,2023-06-10,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
36,test ing,content here,2023-06-12,2023-06-12,100,2023-06-12,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
37,test ing,content here,2023-06-14,2023-06-14,102,2023-06-14,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
38,test ing,content here,2023-06-16,2023-06-16,104,2023-06-16,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
39,test ing,content here,2023-06-18,2023-06-18,106,2023-06-18,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
40,test ing,content here,2023-06-20,2023-06-20,108,2023-06-20,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
41,test ing,content here,2023-06-22,2023-06-22,110,2023-06-22,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
42,test ing,content here,2023-06-24,2023-06-24,112,2023-06-24,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
43,test ing,content here,2023-06-26,2023-06-26,114,2023-06-26,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
44,test ing,content here,2023-06-28,2023-06-28,116,2023-06-28,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
45,test ing,content here,2023-06-30,2023-06-30,118,2023-06-30,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
46,test ing,content here,2023-07-02,2023-07-02,120,2023-07-02,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
47,test ing,content here,2023-07-04,2023-07-04,122,2023-07-04,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
48,test ing,content here,2023-07-06,2023-07-06,124,2023-07-06,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
49,test ing,content here,2023-07-08,2023-07-08,126,2023-07-08,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
50,test ing,content here,2023-07-10,2023-07-10,128,2023-07-10,3232.0,5,161.0,3393.0,0.0,3393.0,Pending,
